Time,On,Power(MW),Reserve(MW),Startup,Shutdown,Revenue
68,1,35.0,5.0,0,0,57879.95
69,1,40.0,5.0,0,0,66959.15
70,1,45.0,5.0,0,0,74288.6
71,1,50.0,5.0,0,0,92673.1
72,1,55.0,5.0,0,0,106070.5
73,1,60.0,5.0,0,0,121092.55
74,1,65.0,5.0,0,0,130251.1
75,1,70.0,5.0,0,0,145956.75
76,1,75.0,5.0,0,0,169745.45
77,1,80.0,5.0,0,0,178270.55
78,1,85.0,5.0,0,0,193505.05
79,1,80.0,5.0,0,0,177347.1
80,1,70.0,5.0,0,0,152394.6
81,1,60.0,5.0,0,0,130018.75
82,1,50.0,5.0,0,0,99852.5
83,1,40.0,5.0,0,0,77475.6
84,1,30.0,5.0,0,0,53895.85
85,1,20.0,5.0,0,0,33734.9
86,0,0.0,0.0,0,1,-4286.0
87,0,0.0,0.0,0,0,0.0
88,0,0.0,0.0,0,0,0.0
89,0,0.0,0.0,0,0,0.0
90,0,0.0,0.0,0,0,0.0
91,0,0.0,0.0,0,0,0.0
92,0,0.0,-0.0,0,0,0.0
93,0,0.0,0.0,0,0,0.0
94,1,-0.0,5.0,1,0,-13607.93
95,1,5.0,5.0,0,0,7897.05
96,1,10.0,5.0,0,0,15953.85
97,1,15.0,5.0,0,0,27432.3
98,1,20.0,5.0,0,0,39090.15
99,1,25.0,5.0,0,0,49489.05
100,1,30.0,5.0,0,0,62699.85
101,1,35.0,5.0,0,0,71220.45
102,1,40.0,5.0,0,0,86498.2
103,1,45.0,5.0,0,0,98971.55
104,1,50.0,5.0,0,0,99842.7
105,1,40.0,5.0,0,0,77082.4
106,1,30.0,5.0,0,0,58776.05
107,1,20.0,5.0,0,0,37173.7
108,0,0.0,0.0,0,1,-4355.8
109,0,0.0,0.0,0,0,0.0
110,0,0.0,0.0,0,0,0.0
111,0,0.0,0.0,0,0,0.0
112,0,0.0,0.0,0,0,0.0
113,0,0.0,0.0,0,0,0.0
114,0,0.0,0.0,0,0,0.0
115,0,0.0,0.0,0,0,0.0
116,0,0.0,0.0,0,0,0.0
117,0,0.0,0.0,0,0,0.0
118,1,0.0,5.0,1,0,-12663.3
119,1,5.0,5.0,0,0,7449.55
120,1,10.0,5.0,0,0,15774.5
121,1,15.0,5.0,0,0,25651.7
122,1,20.0,5.0,0,0,36995.35
123,1,25.0,5.0,0,0,45452.25
124,1,30.0,5.0,0,0,59354.95
125,1,35.0,5.0,0,0,70108.5
126,1,40.0,5.0,0,0,81385.9
127,1,40.0,5.0,0,0,80443.6
128,1,30.0,5.0,0,0,63058.45
129,1,20.0,5.0,0,0,36842.35
130,0,0.0,0.0,0,1,-4630.3
131,0,0.0,0.0,0,0,0.0
132,0,0.0,0.0,0,0,0.0
133,0,0.0,0.0,0,0,0.0
134,0,0.0,0.0,0,0,0.0
135,0,0.0,0.0,0,0,0.0
136,0,0.0,0.0,0,0,0.0
137,0,0.0,0.0,0,0,0.0
138,0,0.0,0.0,0,0,0.0
139,0,0.0,0.0,0,0,0.0
140,0,0.0,0.0,0,0,0.0
141,0,0.0,0.0,0,0,0.0
142,0,0.0,0.0,0,0,0.0
143,0,0.0,0.0,0,0,0.0
144,0,0.0,0.0,0,0,0.0
145,0,0.0,0.0,0,0,0.0
146,0,0.0,0.0,0,0,0.0
147,0,0.0,0.0,0,0,0.0
148,0,0.0,0.0,0,0,0.0
149,0,0.0,0.0,0,0,0.0
150,0,0.0,0.0,0,0,0.0
151,0,0.0,0.0,0,0,0.0
152,0,0.0,0.0,0,0,0.0
153,0,0.0,0.0,0,0,0.0
154,0,0.0,0.0,0,0,0.0
155,0,0.0,0.0,0,0,0.0
156,0,0.0,0.0,0,0,0.0
157,0,0.0,0.0,0,0,0.0
158,0,0.0,0.0,0,0,0.0
159,0,0.0,0.0,0,0,0.0
160,0,0.0,0.0,0,0,0.0
161,0,0.0,0.0,0,0,0.0
162,0,0.0,0.0,0,0,0.0
163,0,0.0,0.0,0,0,0.0
164,1,-0.0,5.0,1,0,-12147.4
165,1,5.0,5.0,0,0,5884.6
166,1,10.0,5.0,0,0,14069.75
167,1,15.0,5.0,0,0,21929.2
168,1,20.0,5.0,0,0,35990.65
169,1,25.0,5.0,0,0,48962.6
170,1,30.0,5.0,0,0,62564.5
171,1,35.0,5.0,0,0,75309.35
172,1,40.0,5.0,0,0,87832.7
173,1,45.0,5.0,0,0,102480.25
174,1,50.0,5.0,0,0,115082.5
175,1,55.0,5.0,0,0,127027.75
176,1,60.0,5.0,0,0,134498.25
177,1,65.0,5.0,0,0,139089.6
178,1,70.0,5.0,0,0,146383.5
179,1,60.0,5.0,0,0,124480.3
180,1,50.0,5.0,0,0,93394.35
181,1,40.0,5.0,0,0,73927.8
182,1,30.0,5.0,0,0,51371.65
183,1,20.0,5.0,0,0,33258.65
184,1,20.0,5.0,0,0,33603.8
185,1,25.0,5.0,0,0,40030.25
186,1,30.0,5.0,0,0,47659.25
187,1,35.0,5.0,0,0,53277.75
188,1,40.0,5.0,0,0,67828.6
189,1,45.0,5.0,0,0,78800.1
190,1,50.0,5.0,0,0,96167.6
191,1,55.0,5.0,0,0,102622.3
192,1,60.0,5.0,0,0,119567.05
193,1,65.0,5.0,0,0,135941.7
194,1,70.0,5.0,0,0,158391.45
195,1,75.0,5.0,0,0,167871.0
196,1,80.0,5.0,0,0,185652.9
197,1,85.0,5.0,0,0,202194.0
198,1,90.0,5.0,0,0,213297.7
199,1,95.0,5.0,0,0,220806.4
200,1,95.0,5.0,0,0,221122.25
201,1,100.0,-0.0,0,0,231380.0
202,1,95.0,5.0,0,0,202514.3
203,1,85.0,5.0,0,0,179886.0
204,1,75.0,5.0,0,0,148216.8
205,1,65.0,5.0,0,0,129797.15
206,1,55.0,5.0,0,0,96218.75
207,1,45.0,5.0,0,0,77886.65
208,1,35.0,5.0,0,0,60497.75
209,1,40.0,5.0,0,0,70701.7
210,1,45.0,5.0,0,0,74791.45
211,1,50.0,5.0,0,0,82151.4
212,1,55.0,5.0,0,0,100391.9
213,1,60.0,5.0,0,0,100932.0
214,1,65.0,5.0,0,0,111141.0
215,1,70.0,5.0,0,0,136771.1
216,1,75.0,5.0,0,0,149051.7
217,1,80.0,5.0,0,0,163752.5
218,1,85.0,5.0,0,0,190000.75
219,1,90.0,5.0,0,0,204900.15
220,1,95.0,5.0,0,0,216966.25
221,1,100.0,0.0,0,0,225824.0
222,1,95.0,5.0,0,0,229033.15
223,1,100.0,-0.0,0,0,236823.0
224,1,95.0,5.0,0,0,218367.95
225,1,95.0,5.0,0,0,223946.4
226,1,85.0,5.0,0,0,178835.75
227,1,75.0,5.0,0,0,148931.35
228,1,65.0,5.0,0,0,126059.15
229,1,55.0,5.0,0,0,103514.15
230,1,45.0,5.0,0,0,81277.4
231,1,35.0,5.0,0,0,59229.9
232,1,25.0,5.0,0,0,41402.25
233,1,20.0,5.0,0,0,30195.65
234,1,25.0,5.0,0,0,41530.0
235,1,30.0,5.0,0,0,47670.3
236,1,35.0,5.0,0,0,59166.3
237,1,40.0,5.0,0,0,68034.6
238,1,45.0,5.0,0,0,80010.05
239,1,50.0,5.0,0,0,93254.1
240,1,55.0,5.0,0,0,106844.65
241,1,60.0,5.0,0,0,122512.75
242,1,65.0,5.0,0,0,140552.0
243,1,70.0,5.0,0,0,151261.4
244,1,75.0,5.0,0,0,168230.95
245,1,80.0,5.0,0,0,177827.8
246,1,85.0,5.0,0,0,197416.0
247,1,90.0,5.0,0,0,195815.35
248,1,80.0,5.0,0,0,182589.4
249,1,70.0,5.0,0,0,147578.1
250,1,60.0,5.0,0,0,116570.9
251,1,50.0,5.0,0,0,97163.4
252,1,40.0,5.0,0,0,71630.0
253,1,30.0,5.0,0,0,53389.55
254,1,20.0,5.0,0,0,31512.5
255,0,0.0,0.0,0,1,-4111.18
256,0,0.0,0.0,0,0,0.0
257,0,0.0,0.0,0,0,0.0
258,0,0.0,0.0,0,0,0.0
259,0,0.0,0.0,0,0,0.0
260,0,0.0,0.0,0,0,0.0
261,0,0.0,0.0,0,0,0.0
262,0,-0.0,0.0,0,0,0.0
263,1,-0.0,5.0,1,0,-13543.56
264,1,5.0,5.0,0,0,8174.2
265,1,10.0,5.0,0,0,17899.65
266,1,15.0,5.0,0,0,27326.9
267,1,20.0,5.0,0,0,41299.3
268,1,25.0,5.0,0,0,52197.35
269,1,30.0,5.0,0,0,61495.2
270,1,35.0,5.0,0,0,72527.25
271,1,40.0,5.0,0,0,82869.8
272,1,40.0,5.0,0,0,75749.25
273,1,30.0,5.0,0,0,57886.85
274,1,20.0,5.0,0,0,36439.55
275,0,0.0,0.0,0,1,-4488.1
276,0,0.0,0.0,0,0,0.0
277,0,0.0,0.0,0,0,0.0
278,0,0.0,0.0,0,0,0.0
279,0,0.0,0.0,0,0,0.0
280,0,0.0,0.0,0,0,0.0
281,0,0.0,0.0,0,0,0.0
282,0,0.0,0.0,0,0,0.0
283,0,0.0,0.0,0,0,0.0
284,0,0.0,0.0,0,0,0.0
285,0,0.0,0.0,0,0,0.0
286,0,0.0,0.0,0,0,0.0
287,1,-0.0,5.0,1,0,-13761.21
288,1,5.0,5.0,0,0,7801.85
289,1,10.0,5.0,0,0,17536.45
290,1,15.0,5.0,0,0,26662.75
291,1,20.0,5.0,0,0,39289.0
292,1,25.0,5.0,0,0,49002.4
293,1,30.0,5.0,0,0,63396.7
294,1,35.0,5.0,0,0,68655.0
295,1,40.0,5.0,0,0,83970.95
296,1,40.0,5.0,0,0,78690.25
297,1,30.0,5.0,0,0,55659.45
298,1,20.0,5.0,0,0,35580.9
299,0,-0.0,0.0,0,1,-4489.0
300,0,0.0,0.0,0,0,0.0
301,0,0.0,0.0,0,0,0.0
302,0,0.0,0.0,0,0,0.0
303,0,0.0,0.0,0,0,0.0
304,0,0.0,0.0,0,0,0.0
305,0,0.0,0.0,0,0,0.0
306,0,0.0,0.0,0,0,0.0
307,0,0.0,0.0,0,0,0.0
308,0,0.0,0.0,0,0,0.0
309,0,0.0,0.0,0,0,0.0
310,0,0.0,0.0,0,0,0.0
311,0,0.0,0.0,0,0,0.0
312,0,0.0,0.0,0,0,0.0
313,0,0.0,0.0,0,0,0.0
314,0,0.0,0.0,0,0,0.0
315,0,0.0,0.0,0,0,0.0
316,0,0.0,0.0,0,0,0.0
317,0,0.0,0.0,0,0,0.0
318,0,0.0,0.0,0,0,0.0
319,0,0.0,0.0,0,0,0.0
320,0,0.0,0.0,0,0,0.0
321,0,0.0,0.0,0,0,0.0
322,0,0.0,0.0,0,0,0.0
323,0,0.0,0.0,0,0,0.0
324,0,0.0,0.0,0,0,0.0
325,0,0.0,0.0,0,0,0.0
326,0,0.0,0.0,0,0,0.0
327,0,0.0,0.0,0,0,0.0
328,0,0.0,0.0,0,0,0.0
329,0,0.0,0.0,0,0,0.0
330,0,0.0,0.0,0,0,0.0
331,0,0.0,0.0,0,0,0.0
332,1,0.0,5.0,1,0,-11780.64
333,1,5.0,5.0,0,0,5827.3
334,1,10.0,5.0,0,0,13338.35
335,1,15.0,5.0,0,0,21003.1
336,1,20.0,5.0,0,0,35395.0
337,1,25.0,5.0,0,0,47968.0
338,1,30.0,5.0,0,0,62696.15
339,1,35.0,5.0,0,0,74717.65
340,1,40.0,5.0,0,0,85791.2
341,1,45.0,5.0,0,0,101512.05
342,1,50.0,5.0,0,0,103028.6
343,1,55.0,5.0,0,0,126158.45
344,1,60.0,5.0,0,0,125717.15
345,1,65.0,5.0,0,0,138311.6
346,1,55.0,5.0,0,0,110658.25
347,1,45.0,5.0,0,0,86461.55
348,1,35.0,5.0,0,0,69219.05
349,1,25.0,5.0,0,0,44704.15
350,1,20.0,5.0,0,0,35053.85
351,1,20.0,5.0,0,0,32958.3
352,1,25.0,5.0,0,0,41085.3
353,1,30.0,5.0,0,0,47823.35
354,1,35.0,5.0,0,0,52912.05
355,1,40.0,5.0,0,0,66720.45
356,1,45.0,5.0,0,0,72898.6
357,1,50.0,5.0,0,0,81007.7
358,1,55.0,5.0,0,0,97176.25
359,1,60.0,5.0,0,0,118564.15
360,1,65.0,5.0,0,0,132112.45
361,1,70.0,5.0,0,0,144122.85
362,1,75.0,5.0,0,0,160981.5
363,1,80.0,5.0,0,0,177977.5
364,1,85.0,5.0,0,0,206367.25
365,1,90.0,5.0,0,0,212828.45
366,1,95.0,5.0,0,0,226401.9
367,1,100.0,-0.0,0,0,239687.0
368,1,100.0,0.0,0,0,231699.0
369,1,100.0,-0.0,0,0,223384.0
370,1,95.0,5.0,0,0,207207.45
371,1,95.0,5.0,0,0,199914.4
372,1,85.0,5.0,0,0,171409.15
373,1,75.0,5.0,0,0,147973.8
374,1,65.0,5.0,0,0,120013.0
375,1,55.0,5.0,0,0,99621.0
376,1,45.0,5.0,0,0,76610.6
377,1,40.0,5.0,0,0,66882.85
378,1,45.0,5.0,0,0,69326.0
379,1,50.0,5.0,0,0,86506.6
380,1,55.0,5.0,0,0,95229.0
381,1,60.0,5.0,0,0,109713.2
382,1,65.0,5.0,0,0,108453.0
383,1,70.0,5.0,0,0,143651.85
384,1,75.0,5.0,0,0,150656.35
385,1,80.0,5.0,0,0,173973.3
386,1,85.0,5.0,0,0,181019.45
387,1,90.0,5.0,0,0,206886.5
388,1,95.0,5.0,0,0,214197.4
389,1,100.0,-0.0,0,0,229763.0
390,1,100.0,0.0,0,0,245902.0
391,1,95.0,5.0,0,0,221603.25
392,1,100.0,-0.0,0,0,230404.0
393,1,95.0,5.0,0,0,218353.6
394,1,85.0,5.0,0,0,186843.9
395,1,75.0,5.0,0,0,156502.35
396,1,65.0,5.0,0,0,130245.8
397,1,55.0,5.0,0,0,111447.0
398,1,45.0,5.0,0,0,80431.8
399,1,35.0,5.0,0,0,60174.2
400,1,25.0,5.0,0,0,42461.9
401,1,20.0,5.0,0,0,33043.8
402,1,25.0,5.0,0,0,41073.05
403,1,30.0,5.0,0,0,48805.8
404,1,35.0,5.0,0,0,54450.7
405,1,40.0,5.0,0,0,71052.9
406,1,45.0,5.0,0,0,75490.3
407,1,50.0,5.0,0,0,92472.65
408,1,55.0,5.0,0,0,102845.45
409,1,60.0,5.0,0,0,120010.6
410,1,65.0,5.0,0,0,136684.55
411,1,70.0,5.0,0,0,151805.0
412,1,75.0,5.0,0,0,167047.5
413,1,80.0,5.0,0,0,186002.7
414,1,85.0,5.0,0,0,192364.7
415,1,90.0,5.0,0,0,198259.85
416,1,80.0,5.0,0,0,178507.25
417,1,70.0,5.0,0,0,152825.9
418,1,60.0,5.0,0,0,117303.0
419,1,50.0,5.0,0,0,98549.05
420,1,40.0,5.0,0,0,75002.3
421,1,30.0,5.0,0,0,51265.45
422,1,20.0,5.0,0,0,34108.25
423,0,0.0,0.0,0,1,-4146.72
424,0,0.0,0.0,0,0,0.0
425,0,0.0,0.0,0,0,0.0
426,0,0.0,0.0,0,0,0.0
427,0,0.0,0.0,0,0,0.0
428,0,0.0,0.0,0,0,0.0
429,0,0.0,0.0,0,0,0.0
430,1,0.0,5.0,1,0,-13252.02
431,1,5.0,5.0,0,0,7242.15
432,1,10.0,5.0,0,0,15656.65
433,1,15.0,5.0,0,0,26555.3
434,1,20.0,5.0,0,0,36533.15
435,1,25.0,5.0,0,0,52014.55
436,1,30.0,5.0,0,0,62919.75
437,1,35.0,5.0,0,0,70821.6
438,1,40.0,5.0,0,0,88373.15
439,1,45.0,5.0,0,0,95164.35
440,1,40.0,5.0,0,0,79818.65
441,1,30.0,5.0,0,0,54067.95
442,1,20.0,5.0,0,0,40064.75
443,0,0.0,0.0,0,1,-4441.56
444,0,0.0,0.0,0,0,0.0
445,0,0.0,0.0,0,0,0.0
446,0,0.0,0.0,0,0,0.0
447,0,0.0,0.0,0,0,0.0
448,0,0.0,0.0,0,0,0.0
449,0,0.0,0.0,0,0,0.0
450,0,0.0,0.0,0,0,0.0
451,0,0.0,0.0,0,0,0.0
452,0,0.0,0.0,0,0,0.0
453,0,0.0,0.0,0,0,0.0
454,0,-0.0,-0.0,0,0,0.0
455,0,-0.0,0.0,0,0,0.0
456,0,-0.0,0.0,0,0,0.0
457,0,-0.0,0.0,0,0,0.0
458,0,-0.0,0.0,0,0,0.0
459,0,-0.0,0.0,0,0,0.0
460,0,-0.0,0.0,0,0,0.0
461,0,-0.0,0.0,0,0,0.0
462,0,-0.0,0.0,0,0,0.0
463,0,-0.0,0.0,0,0,0.0
464,0,-0.0,0.0,0,0,0.0
465,0,-0.0,0.0,0,0,0.0
466,0,-0.0,0.0,0,0,0.0
467,0,0.0,0.0,0,0,0.0
468,0,0.0,0.0,0,0,0.0
469,0,0.0,0.0,0,0,0.0
470,0,0.0,0.0,0,0,0.0
471,0,0.0,0.0,0,0,0.0
472,0,0.0,0.0,0,0,0.0
473,0,0.0,0.0,0,0,0.0
474,0,0.0,0.0,0,0,0.0
475,0,0.0,0.0,0,0,0.0
476,0,0.0,0.0,0,0,0.0
477,0,0.0,0.0,0,0,0.0
478,0,0.0,0.0,0,0,0.0
479,0,0.0,0.0,0,0,0.0
480,0,0.0,0.0,0,0,0.0
481,0,0.0,0.0,0,0,0.0
482,0,0.0,0.0,0,0,0.0
483,0,0.0,0.0,0,0,0.0
484,0,0.0,0.0,0,0,0.0
485,0,0.0,0.0,0,0,0.0
486,0,0.0,0.0,0,0,0.0
487,0,0.0,0.0,0,0,0.0
488,0,0.0,0.0,0,0,0.0
489,0,0.0,0.0,0,0,0.0
490,0,0.0,0.0,0,0,0.0
491,0,0.0,0.0,0,0,0.0
492,0,0.0,0.0,0,0,0.0
493,0,0.0,0.0,0,0,0.0
494,0,0.0,0.0,0,0,0.0
495,0,0.0,0.0,0,0,0.0
496,0,0.0,0.0,0,0,0.0
497,0,0.0,0.0,0,0,0.0
498,0,0.0,0.0,0,0,0.0
499,0,0.0,0.0,0,0,0.0
500,1,0.0,5.0,1,0,-12423.7
501,1,5.0,5.0,0,0,5461.3
502,1,10.0,5.0,0,0,13323.85
503,1,15.0,5.0,0,0,21977.2
504,1,20.0,5.0,0,0,36770.85
505,1,25.0,5.0,0,0,47821.0
506,1,30.0,5.0,0,0,60326.4
507,1,35.0,5.0,0,0,73728.5
508,1,40.0,5.0,0,0,86377.75
509,1,45.0,5.0,0,0,102220.8
510,1,50.0,5.0,0,0,118208.45
511,1,55.0,5.0,0,0,120507.4
512,1,60.0,5.0,0,0,127086.8
513,1,65.0,5.0,0,0,139306.75
514,1,60.0,5.0,0,0,134154.05
515,1,50.0,5.0,0,0,97587.5
516,1,40.0,5.0,0,0,80515.3
517,1,30.0,5.0,0,0,57458.95
518,1,20.0,5.0,0,0,34108.45
519,1,20.0,5.0,0,0,33917.35
520,1,20.0,5.0,0,0,34090.45
521,1,25.0,5.0,0,0,39030.4
522,1,30.0,5.0,0,0,47149.65
523,1,35.0,5.0,0,0,54984.55
524,1,40.0,5.0,0,0,63554.5
525,1,45.0,5.0,0,0,75341.1
526,1,50.0,5.0,0,0,85948.85
527,1,55.0,5.0,0,0,103699.2
528,1,60.0,5.0,0,0,116058.2
529,1,65.0,5.0,0,0,135914.25
530,1,70.0,5.0,0,0,145239.2
531,1,75.0,5.0,0,0,169858.4
532,1,80.0,5.0,0,0,188125.05
533,1,85.0,5.0,0,0,189046.35
534,1,90.0,5.0,0,0,214293.05
535,1,95.0,5.0,0,0,230193.05
536,1,100.0,0.0,0,0,223009.0
537,1,95.0,5.0,0,0,224614.35
538,1,95.0,5.0,0,0,210718.8
539,1,85.0,5.0,0,0,175560.25
540,1,75.0,5.0,0,0,151112.9
541,1,65.0,5.0,0,0,127320.3
542,1,55.0,5.0,0,0,101360.4
543,1,45.0,5.0,0,0,80817.4
544,1,35.0,5.0,0,0,57763.05
545,1,35.0,5.0,0,0,58823.5
546,1,40.0,5.0,0,0,63020.7
547,1,45.0,5.0,0,0,75068.65
548,1,50.0,5.0,0,0,82854.35
549,1,55.0,5.0,0,0,94748.1
550,1,60.0,5.0,0,0,114960.6
551,1,65.0,5.0,0,0,129531.9
552,1,70.0,5.0,0,0,143821.25
553,1,75.0,5.0,0,0,153242.85
554,1,80.0,5.0,0,0,173839.15
555,1,85.0,5.0,0,0,198535.55
556,1,90.0,5.0,0,0,209338.45
557,1,95.0,5.0,0,0,236414.95
558,1,100.0,0.0,0,0,236777.0
559,1,100.0,-0.0,0,0,234074.0
560,1,100.0,-0.0,0,0,227245.0
561,1,95.0,5.0,0,0,214033.45
562,1,85.0,5.0,0,0,183505.9
563,1,75.0,5.0,0,0,158998.35
564,1,65.0,5.0,0,0,132503.1
565,1,55.0,5.0,0,0,100865.95
566,1,45.0,5.0,0,0,77001.25
567,1,35.0,5.0,0,0,55898.4
568,1,25.0,5.0,0,0,41602.25
569,1,20.0,5.0,0,0,30452.3
570,1,25.0,5.0,0,0,36274.5
571,1,30.0,5.0,0,0,48276.1
572,1,35.0,5.0,0,0,62022.15
573,1,40.0,5.0,0,0,67048.45
574,1,45.0,5.0,0,0,80855.95
575,1,50.0,5.0,0,0,91777.4
576,1,55.0,5.0,0,0,105059.05
577,1,60.0,5.0,0,0,123457.45
578,1,65.0,5.0,0,0,134087.5
579,1,70.0,5.0,0,0,151674.3
580,1,75.0,5.0,0,0,166370.65
581,1,80.0,5.0,0,0,175144.75
582,1,85.0,5.0,0,0,195062.9
583,1,90.0,5.0,0,0,198660.35
584,1,80.0,5.0,0,0,170204.2
585,1,70.0,5.0,0,0,149752.4
586,1,60.0,5.0,0,0,118520.55
587,1,50.0,5.0,0,0,96954.9
588,1,40.0,5.0,0,0,73370.9
589,1,30.0,5.0,0,0,53781.55
590,1,20.0,5.0,0,0,32929.4
591,0,0.0,0.0,0,1,-4161.72
592,0,0.0,0.0,0,0,0.0
593,0,0.0,0.0,0,0,0.0
594,0,0.0,0.0,0,0,0.0
595,0,0.0,-0.0,0,0,0.0
596,0,0.0,0.0,0,0,0.0
597,1,-0.0,5.0,1,0,-12763.61
598,1,5.0,5.0,0,0,7045.8
599,1,10.0,5.0,0,0,15692.0
600,1,15.0,5.0,0,0,25523.3
601,1,20.0,5.0,0,0,36451.8
602,1,25.0,5.0,0,0,48501.3
603,1,30.0,5.0,0,0,59295.65
604,1,35.0,5.0,0,0,72289.0
605,1,40.0,5.0,0,0,82807.55
606,1,45.0,5.0,0,0,88171.95
607,1,50.0,5.0,0,0,100174.95
608,1,40.0,5.0,0,0,80312.0
609,1,30.0,5.0,0,0,56292.7
610,1,30.0,5.0,0,0,57216.5
611,1,20.0,5.0,0,0,37251.85
612,0,-0.0,-0.0,0,1,-4564.8
613,0,-0.0,-0.0,0,0,-0.0
614,0,-0.0,-0.0,0,0,0.0
615,0,0.0,-0.0,0,0,0.0
616,0,0.0,-0.0,0,0,0.0
617,0,0.0,-0.0,0,0,0.0
618,0,0.0,-0.0,0,0,0.0
619,0,0.0,-0.0,0,0,0.0
620,0,0.0,-0.0,0,0,0.0
621,0,-0.0,-0.0,0,0,0.0
622,0,-0.0,-0.0,0,0,-0.0
623,1,-0.0,5.0,1,0,-13526.71
624,1,5.0,5.0,0,0,7900.15
625,1,10.0,5.0,0,0,17468.8
626,1,15.0,5.0,0,0,25626.5
627,1,20.0,5.0,0,0,34477.25
628,1,25.0,5.0,0,0,50123.55
629,1,30.0,5.0,0,0,57308.95
630,1,35.0,5.0,0,0,69722.3
631,1,35.0,5.0,0,0,67318.6
632,1,40.0,5.0,0,0,74104.15
633,1,30.0,5.0,0,0,57892.5
634,1,20.0,5.0,0,0,37167.4
635,0,0.0,0.0,0,1,-4458.26
636,0,0.0,0.0,0,0,0.0
637,0,0.0,0.0,0,0,0.0
638,0,0.0,0.0,0,0,0.0
639,0,0.0,0.0,0,0,0.0
640,0,0.0,0.0,0,0,0.0
641,0,0.0,0.0,0,0,0.0
642,0,0.0,0.0,0,0,0.0
643,0,0.0,0.0,0,0,0.0
644,0,0.0,0.0,0,0,0.0
645,0,0.0,0.0,0,0,0.0
646,0,0.0,0.0,0,0,0.0
647,0,0.0,0.0,0,0,0.0
648,0,0.0,0.0,0,0,0.0
649,0,0.0,0.0,0,0,0.0
650,0,0.0,0.0,0,0,0.0
651,0,0.0,0.0,0,0,0.0
652,0,0.0,0.0,0,0,0.0
653,0,0.0,0.0,0,0,0.0
654,0,0.0,0.0,0,0,0.0
655,0,0.0,0.0,0,0,0.0
656,0,0.0,0.0,0,0,0.0
657,0,0.0,0.0,0,0,0.0
658,0,0.0,0.0,0,0,0.0
659,0,0.0,0.0,0,0,0.0
660,0,0.0,0.0,0,0,0.0
661,0,0.0,0.0,0,0,0.0
662,0,0.0,0.0,0,0,0.0
663,0,0.0,0.0,0,0,0.0
664,0,0.0,0.0,0,0,0.0
665,0,0.0,0.0,0,0,0.0
666,0,0.0,0.0,0,0,0.0
667,0,0.0,0.0,0,0,0.0
668,1,0.0,5.0,1,0,-12208.64
669,1,5.0,5.0,0,0,5729.35
