time,dam_price,price_rt,reserve_price,reserve_demand
154,1660.22,1607.47,221.45,52.49
155,1603.54,1576.32,167.24,49.88
156,1495.3,1597.63,174.61,44.94
157,1544.98,1407.92,185.72,43.31
158,1424.62,1379.27,195.06,32.59
159,1301.31,1310.77,159.03,29.95
160,1345.35,1330.37,142.57,25.04
161,1251.95,1374.41,146.24,31.41
162,1325.26,1213.88,166.55,32.78
163,1355.44,1231.73,141.63,31.87
164,1299.58,1345.3,144.88,39.64
165,1424.93,1379.78,157.14,33.81
166,1460.3,1506.5,160.95,40.47
167,1546.91,1519.56,187.16,35.47
168,1894.84,1828.44,244.37,43.06
169,1870.98,1982.76,238.72,52.55
170,1923.52,2104.97,243.08,57.12
171,1984.45,2166.87,253.78,54.7
172,2041.37,2210.37,243.58,58.38
173,2113.81,2285.54,286.19,52.83
174,2150.44,2310.21,274.4,59.33
175,2142.44,2317.59,272.06,65.23
176,2145.38,2245.09,318.57,62.34
177,2062.32,2146.91,268.09,59.76
178,2077.48,2099.56,242.86,54.58
179,1924.4,2084.96,236.54,50.92
180,2001.09,1879.08,248.07,43.87
181,1823.73,1865.64,220.44,46.95
182,1682.14,1741.4,185.93,42.1
183,1614.13,1700.0,211.73,39.51
184,1648.81,1725.0,180.76,32.2
185,1588.12,1630.28,214.65,22.71
186,1629.22,1615.01,201.79,38.6
187,1631.73,1547.75,181.3,31.38
188,1638.58,1714.1,212.92,31.1
189,1651.59,1768.52,203.34,41.4
190,1684.22,1936.74,226.12,39.21
191,1813.72,1877.38,233.28,50.21
192,1960.09,2003.88,226.85,51.99
193,2009.04,2100.38,243.4,56.32
194,2011.65,2268.37,281.11,49.8
195,2147.8,2244.18,271.5,65.9
196,2208.98,2325.73,278.9,63.63
197,2178.2,2383.69,276.07,62.06
198,2242.83,2373.37,298.88,65.22
199,2230.17,2326.27,322.15,55.19
200,2142.29,2332.31,270.56,64.69
201,2171.6,2331.8,279.32,55.18
202,2121.38,2135.41,290.07,50.51
203,2076.69,2122.43,255.89,46.1
204,1998.93,1983.48,251.16,55.44
205,1800.86,2007.98,215.69,42.88
206,1751.43,1761.6,226.15,50.11
207,1762.68,1747.85,206.68,36.68
208,1715.46,1749.02,216.41,28.46
209,1685.87,1785.73,214.5,29.92
210,1842.64,1676.05,233.84,41.18
211,1688.66,1658.49,205.38,34.73
212,1746.55,1839.26,206.52,34.25
213,1784.62,1694.5,212.4,40.16
214,1830.89,1721.06,214.42,44.95
215,1853.98,1962.68,236.7,51.62
216,1984.19,1995.36,239.94,57.12
217,1983.89,2053.18,259.62,51.91
218,2081.49,2239.5,288.65,50.65
219,2129.45,2282.01,263.85,58.26
220,2203.53,2286.82,303.67,63.95
221,2343.0,2276.24,310.97,59.25
222,2141.78,2414.52,290.75,59.72
223,2256.71,2386.23,258.57,65.63
224,2109.08,2303.04,275.83,62.08
225,2115.54,2360.7,295.98,60.0
226,2128.38,2109.52,265.31,52.84
227,2001.55,1993.88,238.07,51.75
228,1863.39,1949.22,231.97,44.29
229,1800.28,1893.11,238.62,49.36
230,1793.94,1821.55,221.53,46.34
231,1657.42,1715.32,198.74,28.7
232,1653.04,1690.45,188.2,30.76
233,1610.34,1554.25,182.13,26.29
234,1560.94,1698.85,171.75,29.87
235,1706.49,1613.88,210.78,33.06
236,1656.39,1715.33,185.95,27.58
237,1566.42,1718.84,216.2,32.44
238,1734.32,1792.41,230.32,34.98
239,1759.36,1877.71,233.72,44.49
240,1907.7,1954.96,224.37,47.52
241,1898.0,2051.13,248.99,47.27
242,1999.06,2170.51,253.77,55.21
243,2086.92,2168.73,250.06,54.52
244,2147.31,2248.71,275.54,58.11
245,2068.59,2229.28,257.08,69.15
246,2116.65,2326.46,293.38,67.81
247,2093.92,2180.95,265.97,53.92
248,2049.5,2287.99,270.04,62.88
249,2117.2,2115.23,262.4,60.22
250,1981.46,1952.6,242.98,47.13
251,1820.21,1955.0,242.68,53.16
252,1845.89,1809.14,212.88,52.69
253,1822.85,1803.12,219.19,35.32
254,1690.41,1622.39,172.94,32.54
255,1495.1,1555.59,183.74,38.92
256,1493.62,1406.69,202.06,32.62
257,1545.68,1451.32,152.05,32.34
258,1431.24,1314.51,154.27,30.59
259,1493.59,1370.3,172.94,31.17
260,1534.71,1539.46,172.02,23.9
261,1491.98,1590.21,181.65,37.98
262,1592.22,1634.77,193.2,41.52
263,1500.31,1629.41,206.58,37.97
264,1683.7,1769.04,225.8,42.61
265,1794.93,1856.26,227.41,38.89
266,1812.61,1865.5,228.88,52.57
267,2013.95,2091.93,252.14,55.81
268,1903.8,2104.35,277.72,54.86
269,1978.7,2067.93,251.46,62.14
270,2013.01,2089.38,239.79,55.21
271,2064.0,2083.17,268.6,59.05
272,1885.99,1908.17,244.49,49.49
273,1964.22,1955.38,205.09,51.95
274,1840.55,1852.13,239.39,47.96
275,1714.87,1744.05,205.96,46.22
276,1705.83,1692.4,199.1,39.24
277,1611.62,1722.45,191.92,36.44
278,1496.05,1564.73,177.2,37.5
279,1464.35,1415.83,174.12,27.98
280,1391.02,1425.36,148.52,20.0
281,1383.28,1436.75,157.3,34.84
282,1397.96,1393.3,143.58,32.4
283,1452.04,1350.52,159.87,20.0
284,1338.67,1340.52,162.66,30.8
285,1552.94,1474.51,147.02,27.16
286,1409.06,1526.61,187.4,34.04
287,1569.88,1639.26,174.87,37.76
288,1683.18,1712.62,207.75,38.95
289,1744.31,1826.7,213.89,40.05
290,1770.54,1814.9,247.85,44.1
291,1852.67,1997.66,227.16,46.06
292,1885.58,1985.47,233.13,48.85
293,1910.41,2132.72,243.02,54.16
294,1992.48,1978.65,240.45,51.42
295,1957.73,2112.36,255.31,57.9
296,1875.58,1985.49,214.13,60.44
297,1908.06,1879.53,214.71,47.74
298,1817.04,1817.98,204.26,48.75
299,1770.9,1744.5,222.63,46.47
300,1685.24,1699.96,221.29,42.49
301,1536.02,1616.92,181.34,36.67
302,1478.66,1468.57,168.58,36.44
303,1483.65,1431.15,162.1,32.09
304,1431.08,1507.87,170.86,21.17
305,1371.69,1450.6,134.88,30.27
306,1370.72,1364.01,151.05,29.93
307,1441.49,1355.07,164.23,22.27
308,1380.71,1398.21,162.56,27.87
309,1488.21,1486.91,166.32,33.58
310,1515.95,1464.91,189.36,32.32
311,1590.78,1599.14,146.4,42.46
312,1529.14,1367.79,189.56,52.91
313,1588.59,1553.89,183.76,41.16
314,1655.03,1642.1,179.29,41.93
315,1734.78,1650.04,220.82,53.59
316,1723.77,1806.35,240.21,58.2
317,1782.91,1697.55,224.94,55.07
318,1752.04,1699.92,241.84,64.15
319,1774.88,1780.45,249.87,49.83
320,1732.54,1797.36,242.05,58.64
321,1704.72,1787.35,239.98,49.92
322,1676.19,1621.35,219.27,58.6
323,1554.64,1633.02,200.15,56.51
324,1618.8,1504.15,166.61,39.0
325,1418.62,1425.52,174.03,36.37
326,1350.35,1412.92,155.9,39.97
327,1404.68,1344.87,188.06,30.81
328,1351.29,1189.36,150.02,30.31
329,1322.3,1320.84,150.37,29.34
330,1318.28,1311.34,155.44,20.0
331,1303.91,1224.79,150.94,29.51
332,1296.21,1312.24,178.56,27.82
333,1385.88,1370.2,155.26,31.37
334,1412.34,1425.61,176.45,44.34
335,1553.64,1461.71,175.49,34.65
336,1792.65,1809.7,200.2,49.07
337,1841.98,1945.78,224.7,47.67
338,1945.14,2108.82,246.31,51.47
339,2049.57,2150.26,251.71,60.12
340,2053.98,2157.7,256.64,60.44
341,2076.55,2267.84,251.85,63.27
342,2145.56,2069.14,274.32,65.95
343,2140.85,2303.59,252.2,59.13
344,2078.67,2101.78,282.07,56.4
345,2038.12,2135.19,264.85,51.83
346,2016.4,2023.58,232.27,50.2
347,1865.23,1934.89,238.3,65.63
348,1794.71,1997.75,219.56,53.39
349,1756.52,1815.46,223.53,36.7
350,1714.33,1785.79,227.61,33.39
351,1683.22,1695.46,169.82,39.46
352,1698.46,1676.91,192.51,37.56
353,1642.18,1623.42,184.15,36.22
354,1585.53,1535.25,195.66,31.84
355,1607.11,1689.11,191.21,33.15
356,1592.09,1639.7,182.42,37.05
357,1693.01,1636.4,197.54,38.36
358,1745.52,1781.26,201.39,30.07
359,1852.19,1985.89,242.15,43.76
360,1875.91,2041.74,239.87,44.65
361,2024.3,2064.5,281.57,53.78
362,2150.57,2152.77,264.75,70.0
363,2133.7,2230.6,265.9,61.68
364,2209.8,2433.6,262.25,60.75
365,2256.9,2370.13,263.35,68.52
366,2215.08,2387.98,268.76,66.92
367,2238.47,2414.87,295.22,66.17
368,2200.07,2334.99,294.2,65.68
369,2158.6,2251.84,255.23,70.0
370,2054.69,2185.22,282.31,51.62
371,2023.76,2110.16,249.84,56.08
372,1971.14,2023.25,246.58,45.24
373,1942.3,1979.93,255.81,48.81
374,1846.29,1856.11,233.17,37.85
375,1844.58,1825.34,205.46,37.28
376,1651.41,1721.54,188.26,35.52
377,1703.73,1696.52,164.41,40.39
378,1659.17,1560.11,184.21,39.59
379,1769.61,1746.78,193.52,29.28
380,1649.36,1747.18,186.82,37.27
381,1694.94,1841.26,207.52,35.81
382,1768.35,1679.21,220.87,36.15
383,1763.54,2061.58,228.25,44.95
384,1919.95,2017.11,234.62,48.33
385,1984.58,2180.94,259.62,65.85
386,2100.86,2134.61,275.52,59.44
387,2170.8,2304.15,262.6,53.44
388,2293.25,2257.46,307.74,59.82
389,2274.78,2315.63,289.73,69.18
390,2206.3,2477.02,292.81,70.0
391,2177.47,2335.77,301.02,55.98
392,2214.31,2322.04,288.45,52.92
393,2073.13,2302.1,290.82,69.2
394,2165.51,2203.46,269.96,58.58
395,2057.31,2094.44,243.87,48.56
396,1893.82,2012.63,244.97,51.58
397,1750.39,2040.05,208.85,31.73
398,1827.65,1803.49,214.95,41.18
399,1688.21,1741.86,201.82,39.57
400,1704.11,1732.36,190.58,40.03
401,1528.34,1695.67,186.08,28.7
402,1563.55,1683.45,157.36,33.55
403,1599.56,1657.14,178.32,28.85
404,1627.04,1579.71,192.17,36.1
405,1645.17,1796.28,200.34,32.58
406,1756.14,1696.22,192.08,37.96
407,1739.06,1861.68,237.73,38.47
408,1857.96,1882.84,217.85,50.43
409,1943.64,2008.72,257.48,55.17
410,2030.52,2110.49,260.54,53.15
411,2097.25,2176.22,253.92,57.45
412,2047.79,2231.48,297.3,52.22
413,2051.89,2331.48,256.86,59.28
414,2197.26,2267.27,289.35,60.86
415,2134.28,2206.89,287.95,70.0
416,2044.74,2237.78,256.97,53.18
417,2106.48,2189.01,279.04,63.49
418,1966.99,1964.79,243.12,57.86
419,1942.22,1983.16,238.21,50.47
420,1803.38,1892.07,223.9,53.79
421,1819.78,1734.83,204.11,42.79
422,1726.56,1744.09,205.29,39.07
423,1558.63,1573.36,193.75,33.57
424,1566.41,1527.6,146.74,37.38
425,1514.6,1468.08,186.62,35.06
426,1535.05,1460.88,139.5,25.76
427,1423.15,1399.56,180.72,22.62
428,1530.28,1407.43,186.23,29.52
429,1591.25,1638.73,160.02,28.74
430,1507.26,1558.42,179.7,35.36
431,1603.21,1627.95,180.48,45.31
432,1632.96,1642.7,205.93,40.54
433,1794.09,1818.14,216.64,46.33
434,1910.88,1855.61,244.19,50.29
435,2007.45,2100.24,261.71,57.19
436,1979.01,2112.3,270.15,43.94
437,2082.14,2039.9,245.02,53.49
438,1937.47,2222.92,251.27,57.94
439,1906.77,2129.57,226.74,62.23
440,1955.0,2011.19,234.21,52.13
441,1925.27,1820.24,252.15,42.69
442,1838.41,2030.51,250.91,51.93
443,1660.58,1720.78,195.48,41.92
444,1678.27,1610.55,191.57,35.14
445,1536.44,1675.94,186.55,33.97
446,1559.55,1672.66,178.55,32.45
447,1479.19,1533.16,151.33,27.14
448,1363.29,1424.84,161.41,20.0
449,1351.91,1388.47,142.49,30.58
450,1311.89,1389.03,147.26,31.87
451,1369.6,1392.48,156.98,29.19
452,1448.32,1396.21,153.52,21.67
453,1397.0,1438.87,154.5,28.67
454,1531.87,1499.24,169.47,32.69
455,1550.95,1540.31,181.59,39.28
456,1614.12,1657.67,190.08,43.47
457,1724.91,1662.15,204.49,40.3
458,1749.91,1841.11,244.26,47.97
459,1835.39,1859.3,238.93,52.92
460,1850.33,1907.4,233.94,60.28
461,2038.12,2018.99,253.77,58.01
462,1951.76,2103.52,239.99,58.95
463,1904.9,2063.3,260.91,54.91
464,1920.93,1879.38,243.92,60.06
465,1857.46,1859.24,228.9,52.69
466,1790.63,1903.46,226.99,43.25
467,1760.97,1704.78,184.81,50.99
468,1691.64,1661.03,178.73,43.61
469,1550.94,1618.55,165.0,34.07
470,1477.87,1444.9,173.25,30.32
471,1432.53,1438.94,187.04,31.16
472,1285.47,1299.29,186.9,29.67
473,1296.98,1310.86,158.36,26.91
474,1433.2,1357.01,154.99,27.05
475,1459.85,1257.21,122.58,34.59
476,1397.84,1417.44,146.91,33.04
477,1489.69,1448.92,151.66,31.11
478,1541.63,1559.43,165.03,38.08
479,1755.61,1628.02,184.42,31.93
480,1530.06,1522.45,174.03,43.08
481,1546.64,1539.92,165.87,54.14
482,1577.2,1587.2,214.1,47.74
483,1606.65,1680.92,199.43,47.83
484,1731.8,1753.79,224.9,51.33
485,1719.63,1762.55,254.79,50.78
486,1703.12,1776.68,216.56,52.96
487,1732.17,1733.21,193.95,54.67
488,1690.68,1710.15,220.44,48.15
489,1774.68,1629.93,232.71,53.02
490,1688.79,1733.97,235.69,54.51
491,1590.3,1514.57,182.54,42.01
492,1591.84,1470.78,194.94,50.43
493,1466.29,1397.68,171.07,41.67
494,1365.87,1413.49,165.85,40.83
495,1420.74,1296.56,194.45,29.45
496,1340.17,1333.4,132.11,34.81
497,1249.2,1211.19,152.14,23.76
498,1282.25,1255.19,154.3,33.34
499,1265.92,1214.09,165.01,30.44
500,1274.86,1401.45,157.0,34.03
501,1423.29,1284.44,167.82,27.96
502,1526.15,1428.12,168.53,32.65
503,1449.2,1522.1,189.14,43.92
504,1828.15,1874.83,214.85,40.26
505,1850.72,1936.2,243.2,51.39
506,1936.85,2030.66,241.32,46.04
507,1999.31,2120.27,263.81,60.41
508,2038.96,2171.12,266.59,52.57
509,2120.09,2279.37,289.83,63.18
510,2091.83,2372.69,274.79,64.24
511,2142.12,2201.21,248.17,57.3
512,2101.51,2123.98,289.6,62.37
513,2049.73,2151.64,250.03,58.56
514,1959.42,2245.54,244.33,51.63
515,1908.79,1964.35,234.0,45.84
516,1902.85,2026.45,251.46,37.36
517,1817.49,1944.18,186.71,45.2
518,1676.12,1731.78,254.57,32.18
519,1672.64,1732.42,213.79,37.53
520,1662.26,1745.99,194.13,33.51
521,1515.83,1596.07,185.73,36.88
522,1620.69,1600.01,189.87,31.61
523,1574.93,1594.44,195.83,32.13
524,1670.75,1608.44,203.38,39.07
525,1655.77,1690.84,210.66,39.6
526,1669.71,1733.51,214.67,42.75
527,1754.67,1897.89,223.05,47.25
528,1919.68,1944.53,237.28,41.23
529,2011.32,2099.44,250.13,56.69
530,2028.72,2080.37,282.66,59.69
531,2171.07,2269.75,285.43,54.76
532,2106.64,2359.01,240.85,61.1
533,2219.09,2227.59,300.24,63.71
534,2174.59,2384.62,295.45,63.83
535,2194.67,2426.72,290.93,65.74
536,2201.81,2248.09,280.75,69.8
537,2110.69,2367.74,295.81,65.73
538,2074.11,2222.14,283.1,50.72
539,2072.85,2072.15,245.5,56.82
540,1917.39,2022.14,250.48,56.52
541,1911.52,1969.77,217.05,47.96
542,1741.84,1857.55,199.03,47.9
543,1763.42,1813.71,200.09,49.42
544,1761.85,1671.15,214.56,42.11
545,1536.54,1701.96,210.98,36.75
546,1610.16,1595.18,202.7,40.23
547,1688.97,1685.13,207.56,36.23
548,1679.62,1672.15,209.37,37.12
549,1755.48,1737.25,199.87,37.6
550,1768.13,1927.16,226.2,50.26
551,1874.07,2001.75,243.63,41.94
552,1938.46,2062.04,255.69,57.54
553,2080.92,2048.91,274.92,56.21
554,2106.06,2178.02,279.51,50.28
555,2170.59,2340.17,284.22,62.16
556,2178.84,2329.17,302.63,52.14
557,2202.88,2492.22,290.81,67.2
558,2213.52,2385.77,279.3,68.93
559,2242.12,2358.74,287.95,60.95
560,2168.66,2290.45,273.78,62.94
561,2153.63,2257.91,266.4,69.61
562,2177.71,2164.57,263.49,54.1
563,2041.89,2127.9,241.17,47.61
564,1900.97,2048.13,234.93,56.32
565,1896.11,1848.69,197.6,54.72
566,1739.55,1727.08,216.53,41.18
567,1592.03,1619.62,202.34,42.99
568,1591.81,1699.8,181.45,42.12
569,1514.53,1563.14,197.9,30.06
570,1575.95,1483.05,199.65,30.69
571,1600.22,1642.13,162.44,39.63
572,1708.51,1797.87,179.34,43.25
573,1684.02,1697.91,186.41,39.87
574,1714.04,1815.31,193.4,35.6
575,1833.91,1848.43,231.18,53.39
576,1754.53,1922.17,227.94,44.51
577,1949.41,2067.71,238.97,49.21
578,2043.34,2073.34,224.08,56.04
579,1987.74,2172.98,273.14,65.03
580,2161.21,2225.47,252.08,63.73
581,2145.53,2194.58,275.67,62.86
582,2112.61,2299.58,279.72,63.43
583,2149.3,2211.04,293.35,60.64
584,2195.7,2134.59,247.4,61.53
585,2038.02,2149.83,212.86,43.52
586,1973.62,1984.54,249.63,51.39
587,1860.29,1949.01,260.88,50.28
588,1757.51,1849.45,238.58,39.24
589,1758.26,1817.84,209.27,42.86
590,1595.99,1690.03,185.76,36.1
591,1574.65,1580.86,193.95,42.61
592,1493.95,1569.13,158.37,39.13
593,1506.28,1561.87,174.2,27.25
594,1483.3,1493.41,172.02,28.13
595,1523.28,1465.96,181.14,28.85
596,1470.48,1415.13,210.72,28.28
597,1524.83,1479.16,182.27,33.72
598,1546.26,1590.93,178.23,31.88
599,1640.16,1650.86,196.68,33.47
600,1753.78,1760.68,182.62,45.94
601,1845.4,1859.88,210.84,49.69
602,1828.89,1966.78,226.36,45.98
603,1975.81,1997.49,234.19,57.42
604,2043.09,2080.9,251.5,52.02
605,2021.38,2085.05,241.11,57.79
606,2100.32,1969.24,271.23,60.98
607,1953.25,2014.3,251.99,56.06
608,1895.55,2022.03,246.16,56.86
609,1817.13,1897.63,232.76,49.49
610,1914.84,1929.05,229.0,47.85
611,1796.67,1896.0,226.37,44.06
612,1679.95,1782.4,187.45,37.36
613,1615.66,1601.78,177.07,36.21
614,1469.79,1615.72,169.79,25.63
615,1583.15,1459.02,143.29,27.7
616,1416.75,1370.78,142.76,26.26
617,1383.07,1315.98,142.46,24.81
618,1401.14,1319.68,160.59,24.29
619,1396.79,1323.65,152.73,25.62
620,1411.76,1389.56,156.33,29.75
621,1406.76,1442.25,173.81,34.05
622,1530.24,1503.18,169.05,29.47
623,1671.57,1611.76,188.77,30.27
624,1721.03,1745.95,194.08,34.92
625,1809.92,1820.7,212.36,41.53
626,1776.11,1757.92,211.54,45.8
627,1813.59,1765.38,193.93,46.79
628,1903.94,2029.67,236.36,46.52
629,1942.67,1926.19,264.65,52.21
630,2004.71,2006.51,258.89,55.91
631,1855.26,1937.99,257.79,57.47
632,1986.7,1865.49,256.91,50.22
633,1855.17,1951.11,231.84,48.57
634,1780.33,1892.56,223.24,42.92
635,1679.66,1729.13,199.11,43.81
636,1571.02,1519.05,190.89,35.88
637,1618.62,1552.77,192.15,39.15
638,1510.33,1526.51,189.17,23.79
639,1381.79,1343.88,158.96,27.88
640,1335.81,1390.34,146.67,28.86
641,1355.95,1346.03,148.8,26.85
642,1448.31,1372.58,156.49,38.96
643,1364.63,1359.96,127.94,27.84
644,1335.13,1332.62,120.61,22.66
645,1448.57,1521.9,155.22,29.68
646,1512.43,1516.77,156.03,24.49
647,1466.82,1612.95,179.32,36.69
648,1478.41,1405.28,178.42,36.93
649,1542.11,1510.92,186.47,49.67
650,1649.87,1563.97,223.61,46.09
651,1758.69,1665.86,218.32,51.49
652,1772.42,1813.37,225.72,51.41
653,1741.07,1690.1,235.19,64.92
654,1717.01,1692.32,213.6,55.28
655,1873.85,1844.04,242.14,65.68
656,1740.88,1733.28,223.27,59.24
657,1701.06,1667.34,226.9,55.36
658,1648.94,1697.78,194.78,51.84
659,1599.36,1547.12,178.16,48.51
660,1520.38,1599.24,199.28,33.19
661,1437.65,1468.89,182.44,37.72
662,1379.72,1342.97,155.11,39.9
663,1352.29,1421.62,147.01,32.5
664,1292.55,1238.87,167.59,23.51
665,1263.47,1283.38,132.65,28.95
666,1295.31,1256.22,170.17,37.41
667,1293.24,1323.08,138.2,35.82
668,1401.88,1371.69,164.3,30.95
669,1265.9,1346.64,159.23,38.59
670,1490.17,1373.89,181.96,35.29
671,1565.56,1513.24,178.16,32.41
672,1696.33,1809.34,217.56,40.38
673,1866.12,2068.12,234.49,56.88
674,1942.64,2046.64,231.84,51.5
675,1958.55,2095.72,269.27,54.95
676,2043.27,2191.02,259.33,57.24
677,2062.14,2140.71,269.52,69.94
678,2220.99,2181.76,260.65,69.24
679,2175.38,2306.69,236.33,70.0
680,2167.6,2166.75,267.8,58.67
681,2097.76,2094.12,299.8,58.74
682,1948.35,2122.96,265.9,46.74
683,1911.4,2083.71,242.65,58.27
684,1889.55,1971.24,226.9,41.33
685,1731.34,1903.28,219.08,44.54
686,1760.65,1719.59,215.71,34.51
687,1655.66,1612.97,180.23,34.11
688,1605.95,1738.37,207.5,30.64
689,1634.84,1599.45,197.28,30.44
690,1615.74,1597.18,196.36,30.42
691,1590.02,1709.03,194.59,31.03
692,1700.18,1702.7,194.0,39.58
693,1639.88,1757.15,212.42,32.4
694,1790.75,1936.85,222.2,42.27
695,1865.71,1857.24,220.7,51.0
696,1901.8,2046.4,230.94,46.34
697,2014.64,2088.84,254.58,49.32
